sample_name,tsp_length,tsp_GC_per,tsp_GC_skew,rib_length,rib_GC_per,rib_GC_skew,tsp_GC3s,rib_GC3s,tsp_cost_per_aa,rib_cost_per_aa,tsp_ENc,rib_ENc,ENc_diff,rib_GC3s_skew,tsp_GC3s_skew,fungi_gs,fungi_gc_genome
NBH10,398.105863796623,55.7664900723696,0.197466134718872,398.987730990609,56.4003438352015,-0.247837019,0.6530482,0.6599687,22.99725,22.94979,54.9664209451304,55.4642133979994,-0.009056301,-0.021354454,-0.02159843,47.7698364696027,50.5481568558349
NBH2,464.120526971693,51.3173277550294,-0.396786541,482.214422813271,52.8180367425281,-0.585810255,0.6130013,0.6287385,23.64141,23.42015,49.8289365305759,50.2702609173304,-0.008856789,-0.030996793,-0.03269216,45.9531789427488,51.0180360247551
NBH3,521.253812267028,51.1660928498814,-0.218525923,511.548977395048,53.0243164693219,-0.337911733,0.6103408,0.6258253,23.6825,23.33036,51.7631218187988,52.3953448275862,-0.012213773,-0.026495529,-0.02928663,45.0528339934995,51.3134819337412
NBH4,474.455988455988,52.7202308802309,-0.103658009,509.172338090011,52.9201317233809,-0.232041712,0.6267618,0.626879,23.42271,23.42088,51.0001264907842,51.5693392070485,-0.011161006,-0.019939526,-0.0284583,48.8379396731914,51.0401789878046
NBH5,436.639811745654,52.4272730953164,0.00437741959970652,430.228233125355,54.3375397050482,-0.030445973,0.6194227,0.6382537,23.52072,23.22092,53.6026067358825,55.2799744680851,-0.031292652,-0.022231651,-0.02702831,51.7720028710219,49.4956045431002
NBH6,425.235161443495,53.3819117996201,0.127221628679962,433.053780109707,54.5364559980921,0.100798950632006,0.6304229,0.6425365,23.35237,23.20085,52.3795669992872,53.0900393747763,-0.013563922,-0.021439905,-0.02425394,48.7489192233973,51.216429266558
NBH7,431.252458913365,52.680053420482,0.0243537692863652,430.189418071634,54.0761704607257,-0.06915702,0.6239864,0.6386036,23.47709,23.25813,52.2155261006289,53.2772588793036,-0.020333661,-0.020920571,-0.02378862,61.8221160452665,51.1572918144138
NBH8,435.88424938001,53.2109291193264,0.0344287444489302,438.85012195122,54.1325646341463,0.0129743902439024,0.6291206,0.6386169,23.36963,23.24525,51.5607800230947,52.2858467545144,-0.014062369,-0.020978644,-0.02572924,49.6870694674989,50.700355504593
NBH9,459.078685110814,51.5080090733304,0.0501242005057266,464.132431126148,54.2844224262929,0.105867568873852,0.6134445,0.6408088,23.73607,23.34016,52.1365031998809,53.7285184588102,-0.03053552,-0.023110003,-0.02910491,51.3018128947809,51.1622740136129
NG1,432.135814592949,56.7347864087204,0.703557890601984,455.391570520367,57.0493548387097,0.387341652931481,0.6605755,0.6634525,22.92282,22.82485,53.7526074132337,55.1700612773981,-0.026369956,-0.018148731,-0.01934049,61.1519814004744,48.2965010840171
NG2,611.856313060689,47.4994352774132,-0.350201902,515.391394407306,50.7900244798042,-0.3374541,0.5746981,0.6059057,24.35979,23.8046,50.8313466983925,51.6899924656244,-0.016892052,-0.03248345,-0.03161139,65.8825070017543,48.5314075370122
NG3,416.360805860806,57.3134961334961,0.613040293040293,448.483457595527,57.1887255358807,0.0260531220876048,0.6650581,0.664374,22.72034,22.76859,53.8545602605863,54.9840573292939,-0.0209731,-0.019976681,-0.01865913,62.2485793078132,48.1157520784369
NG4,446.707219251337,55.2472259358289,0.733068181818182,471.088586030664,56.2154940374787,0.559403747870528,0.6472894,0.657815,23.1593,22.99504,54.3443857302118,55.498496592845,-0.021236984,-0.01407407,-0.01904496,54.6943589403844,49.9113790171158
NG5,427.610399303396,56.6210511257619,0.389215076502053,444.612053684477,56.8022258799696,-0.001456065,0.6584791,0.6603138,22.88551,22.90153,53.9177787467298,54.9413688212928,-0.018984278,-0.020738497,-0.02272242,60.4667071125816,48.995862496661
PD1,450.701351641279,53.2884638489595,0.185086891225059,463.184165651644,54.9704872107186,0.413676004872107,0.6287526,0.6475151,23.3925,23.11916,52.9988521421669,54.534132130668,-0.028968174,-0.019497144,-0.02252675,50.7353655789252,49.3325398318948
PD2,457.465429368209,51.9450774112895,0.189522069429753,467.045990031717,54.4976937018577,0.0830380607159039,0.616688,0.6405804,23.61963,23.22726,52.4731532312434,54.2769021121962,-0.0343747,-0.019704088,-0.02265194,52.3362645722456,46.6076451838141
PD3,464.901554404145,54.9071113989637,0.306923575129534,475.133879781421,56.156237314598,-0.093836846,0.6423152,0.6567008,23.11063,22.96642,54.3442088197147,55.4998397185301,-0.021265024,-0.022113765,-0.02555101,42.618329724158,49.5302429047775
PD4,472.591921182266,48.8080935960591,0.0350630541871921,478.181946688207,51.3965236268174,-0.083821688,0.5857724,0.612394,24.02462,23.6239,49.7949054742726,51.0883707070707,-0.025975855,-0.029166839,-0.02863908,45.5584768627835,50.4320509086904
PD5,450.561605567536,52.1769893158204,0.00174524603019017,458.297243040685,53.7145369379015,-0.194160867,0.618635,0.6365613,23.55401,23.31314,51.4286243619945,52.6276848874598,-0.023315042,-0.028506151,-0.03063327,44.6614843477783,49.8562363404311
